"Date","Price","Open","High","Low","Change %"
"May 29, 2020","0.04033","0.04042","0.04063","0.04030","-0.23%"
"May 28, 2020","0.04042","0.04036","0.04046","0.04030","0.15%"
"May 27, 2020","0.04036","0.04059","0.04065","0.04028","-0.58%"
"May 26, 2020","0.04059","0.04052","0.04063","0.04035","0.18%"
"May 25, 2020","0.04052","0.04050","0.04054","0.04049","0.05%"
"May 24, 2020","0.04050","0.04055","0.04056","0.04049","-0.10%"
"May 22, 2020","0.04054","0.04038","0.04067","0.04035","0.39%"
"May 21, 2020","0.04038","0.04042","0.04046","0.04028","-0.08%"
"May 20, 2020","0.04042","0.04034","0.04053","0.04028","0.20%"
"May 19, 2020","0.04034","0.04056","0.04056","0.04026","-0.54%"
"May 18, 2020","0.04056","0.04059","0.04075","0.04055","-0.09%"
"May 17, 2020","0.04059","0.04064","0.04064","0.04056","-0.11%"
"May 15, 2020","0.04064","0.04043","0.04071","0.04040","0.51%"
"May 14, 2020","0.04043","0.04050","0.04063","0.04043","-0.17%"
"May 13, 2020","0.04050","0.04040","0.04052","0.04037","0.25%"
"May 12, 2020","0.04040","0.04029","0.04052","0.04024","0.27%"
"May 11, 2020","0.04029","0.04053","0.04059","0.04022","-0.60%"
"May 10, 2020","0.04053","0.04068","0.04068","0.04052","-0.26%"
"May 08, 2020","0.04064","0.04066","0.04080","0.04055","-0.05%"
"May 07, 2020","0.04066","0.04072","0.04074","0.04034","-0.15%"
"May 06, 2020","0.04072","0.04042","0.04080","0.04042","0.75%"
"May 05, 2020","0.04042","0.04045","0.04051","0.04028","-0.09%"
"May 04, 2020","0.04045","0.04026","0.04074","0.04014","0.47%"
"May 03, 2020","0.04026","0.04022","0.04027","0.04019","0.16%"
"May 01, 2020","0.04020","0.04006","0.04031","0.04002","0.36%"
"Apr 30, 2020","0.04006","0.04074","0.04081","0.03998","-1.69%"
"Apr 29, 2020","0.04074","0.04086","0.04096","0.04069","-0.28%"
"Apr 28, 2020","0.04086","0.04062","0.04095","0.04062","0.59%"
"Apr 27, 2020","0.04062","0.04055","0.04073","0.04051","0.16%"
"Apr 26, 2020","0.04055","0.04054","0.04059","0.04051","0.00%"
"Apr 24, 2020","0.04055","0.04050","0.04060","0.04048","0.13%"
"Apr 23, 2020","0.04050","0.04051","0.04064","0.04034","-0.01%"
"Apr 22, 2020","0.04051","0.04080","0.04092","0.04041","-0.73%"
"Apr 21, 2020","0.04080","0.04063","0.04094","0.04055","0.43%"
"Apr 20, 2020","0.04063","0.04059","0.04076","0.04051","0.10%"
"Apr 19, 2020","0.04059","0.04063","0.04065","0.04058","-0.12%"
"Apr 17, 2020","0.04064","0.04053","0.04077","0.04039","0.27%"
"Apr 16, 2020","0.04053","0.04035","0.04082","0.04026","0.42%"
"Apr 15, 2020","0.04035","0.04045","0.04053","0.04015","-0.23%"
"Apr 14, 2020","0.04045","0.04022","0.04049","0.04012","0.57%"
"Apr 13, 2020","0.04022","0.03976","0.04026","0.03975","1.16%"
"Apr 12, 2020","0.03976","0.03974","0.03980","0.03972","0.00%"
"Apr 10, 2020","0.03977","0.03978","0.03999","0.03968","-0.04%"
"Apr 09, 2020","0.03978","0.03989","0.04004","0.03974","-0.27%"
"Apr 08, 2020","0.03989","0.03992","0.04018","0.03979","-0.07%"
"Apr 07, 2020","0.03992","0.03998","0.04002","0.03976","-0.16%"
"Apr 06, 2020","0.03998","0.04010","0.04023","0.03991","-0.29%"
"Apr 05, 2020","0.04010","0.04020","0.04022","0.04010","-0.27%"
"Apr 03, 2020","0.04021","0.04035","0.04050","0.04010","-0.35%"
